Date,open data
11/17/2022,95.09666699999998
11/18/2022,94.409167
11/21/2022,93.8671672
11/22/2022,93.8371672
11/23/2022,93.84558340000001
11/25/2022,93.88498663333333
11/28/2022,93.6679565388889
11/29/2022,94.14975442870372
11/30/2022,94.273783266821
12/1/2022,94.4352497057356
12/2/2022,93.48146556687671
12/5/2022,92.34674958990554
12/6/2022,91.3905764770863
12/7/2022,90.61646460564475
12/8/2022,90.28396494543944
12/9/2022,90.93850167136173
12/12/2022,91.46315553707431
12/13/2022,91.71760402564593
12/14/2022,90.796542872347
12/15/2022,89.94121673917788
12/16/2022,88.9275607728618
12/19/2022,88.1142207307311
12/20/2022,87.3354995404618
12/21/2022,86.5545463406758
12/22/2022,85.95737743531146
12/23/2022,85.14457121940818
12/27/2022,84.71608366589923
12/28/2022,84.10134022010315
12/29/2022,84.23533335090175
12/30/2022,84.69712703948402
1/3/2023,85.06230076841481
1/4/2023,84.81746085980011
1/5/2023,85.06614811128314
1/6/2023,85.50098462324968
1/9/2023,86.89076543238882
1/10/2023,88.81464969448695
1/11/2023,90.5410666250209
1/12/2023,92.67274695864944
1/13/2023,93.6897438796929
1/17/2023,94.59559257722721
1/18/2023,94.46801373592825
1/19/2023,94.81889119880806
1/20/2023,95.37208275199391
1/23/2023,95.28483061445503
1/24/2023,95.53430009420951
1/25/2023,96.08686807677641
1/26/2023,97.6276652975735
1/27/2023,98.50480541142657
1/30/2023,99.49988963096274
1/31/2023,101.59539388999382
2/1/2023,102.94001498873052
2/2/2023,103.74588341828117
2/3/2023,102.94021538283424
2/6/2023,102.62768546497432
2/7/2023,102.30729721101495
2/8/2023,101.46586617647058
2/9/2023,100.52180747540997
2/10/2023,99.68582847714924
2/13/2023,99.50391668817163
2/14/2023,99.40359194012181
2/15/2023,99.11555585090711
2/16/2023,98.3955104132001
2/17/2023,97.52577586737151
2/21/2023,96.93280652191312
2/22/2023,96.26734880041413
2/23/2023,95.77598869828313
2/24/2023,94.98769017010171
2/27/2023,94.72017144479982
2/28/2023,93.98397605219743
3/1/2023,93.61864044451649
3/2/2023,93.61046532358563
3/3/2023,93.86717997004992
3/6/2023,93.991047289692
3/7/2023,93.80144809722124
3/8/2023,93.6016118928272
3/9/2023,92.9523510466234
3/10/2023,92.80423533944531
3/13/2023,92.72970037981598
3/14/2023,93.54771496098078
3/15/2023,94.64027544670701
3/16/2023,95.81128263125062
3/17/2023,96.72321283982308
3/20/2023,97.36246181963013
3/21/2023,98.15282554845062
3/22/2023,98.5314162013173
3/23/2023,98.60278392823301
3/24/2023,98.4228377796668
3/27/2023,98.57117348486952
3/28/2023,98.99113353212822
3/29/2023,99.73085896611076
3/30/2023,100.55052933051809
3/31/2023,101.0804214714595
4/3/2023,101.72030279468139
4/4/2023,101.7935429327765
4/5/2023,101.70237836648624
4/6/2023,101.28770434899069
4/10/2023,101.15727160804225
4/11/2023,100.71622605391985
4/12/2023,100.76353350182546
4/13/2023,101.13617202729792
4/14/2023,101.96598876384053
4/17/2023,102.09261621549399
4/18/2023,102.37579583443873
4/19/2023,102.94073330229554
4/20/2023,104.11652439203804
4/21/2023,104.68384325479538
4/24/2023,104.89185165818816
4/25/2023,105.30037138417026
4/26/2023,105.96767904952564
4/27/2023,106.166651015314
4/28/2023,105.264117074835
5/1/2023,104.59307385661243
5/2/2023,104.21230699112691
5/3/2023,104.35324898709571
5/4/2023,104.41810480580584
5/5/2023,104.62894363067142
5/8/2023,105.3367165705955
5/9/2023,106.49896083451212
5/10/2023,107.95910367262984
5/11/2023,109.02246434628957
5/12/2023,109.64008964223858
5/15/2023,110.61861027685966
5/16/2023,111.98519471089799
5/17/2023,113.66398327166604
5/18/2023,114.64796520990394
5/19/2023,114.91619019874467
5/22/2023,114.93635511338579
